pace,shooting,passing,dribbling,defending,physic,player_positions,Role
75.0,74.0,58.0,73.0,28.0,60.0,ST,Forward
84.0,63.0,69.0,74.0,29.0,56.0,"LM, RM, ST",Midfielder
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
56.0,62.0,56.0,62.0,75.0,66.0,CB,Defender
72.0,65.0,73.0,73.0,70.0,72.0,"LB, LM",Defender
78.0,71.0,69.0,70.0,66.0,75.0,"LB, LM",Defender
53.0,64.0,73.0,71.0,65.0,74.0,"CM, CDM",Midfielder
,,,,,,GK,Goalkeeper
75.0,40.0,60.0,63.0,69.0,73.0,"LB, LWB",Defender
67.0,72.0,73.0,70.0,69.0,76.0,"CAM, CM",Midfielder
88.0,75.0,66.0,75.0,48.0,65.0,"CAM, ST, LM",Midfielder
79.0,73.0,65.0,74.0,32.0,61.0,"ST, LW, LM",Midfielder
65.0,71.0,73.0,73.0,57.0,69.0,"CAM, CM",Midfielder
58.0,68.0,77.0,69.0,63.0,71.0,"CM, CAM, CDM",Midfielder
68.0,62.0,72.0,79.0,68.0,67.0,"RB, RM",Defender
88.0,67.0,68.0,77.0,36.0,54.0,"LM, CAM, RM",Midfielder
85.0,61.0,68.0,73.0,68.0,79.0,"LM, LB, LWB",Defender
72.0,57.0,69.0,67.0,69.0,75.0,LB,Defender
66.0,58.0,67.0,70.0,72.0,71.0,"RB, CB",Defender
85.0,73.0,67.0,74.0,30.0,69.0,"ST, LW, RW",Forward
67.0,64.0,70.0,74.0,66.0,77.0,"CM, CDM",Midfielder
73.0,57.0,71.0,72.0,67.0,74.0,LB,Defender
,,,,,,GK,Goalkeeper
75.0,48.0,46.0,62.0,72.0,80.0,CB,Defender
80.0,53.0,62.0,71.0,68.0,75.0,"RB, RWB, CB",Defender
79.0,74.0,70.0,73.0,42.0,71.0,"CF, LW",Forward
68.0,71.0,58.0,68.0,28.0,79.0,ST,Forward
60.0,69.0,74.0,76.0,55.0,48.0,"CAM, CM, CF",Midfielder
47.0,28.0,49.0,56.0,76.0,72.0,CB,Defender
57.0,48.0,61.0,61.0,74.0,73.0,CB,Defender
69.0,50.0,68.0,61.0,74.0,74.0,"CB, LB",Defender
88.0,73.0,70.0,75.0,32.0,65.0,"CAM, ST, CF",Midfielder
56.0,63.0,65.0,71.0,70.0,78.0,CDM,Midfielder
71.0,60.0,66.0,71.0,71.0,68.0,"LB, RB",Defender
73.0,73.0,65.0,74.0,27.0,65.0,"ST, RW",Forward
75.0,70.0,70.0,73.0,37.0,69.0,"LM, CAM, LW",Midfielder
33.0,34.0,51.0,54.0,74.0,81.0,CB,Defender
56.0,62.0,71.0,68.0,69.0,76.0,CDM,Midfielder
51.0,47.0,58.0,52.0,76.0,77.0,CB,Defender
83.0,68.0,68.0,73.0,58.0,73.0,"LM, RM",Midfielder
68.0,57.0,71.0,76.0,68.0,63.0,"CM, CDM",Midfielder
54.0,74.0,57.0,69.0,32.0,76.0,ST,Forward
82.0,71.0,70.0,71.0,24.0,80.0,"ST, LM",Midfielder
,,,,,,GK,Goalkeeper
71.0,61.0,69.0,69.0,68.0,80.0,"CM, CDM",Midfielder
68.0,75.0,56.0,67.0,34.0,70.0,ST,Forward
58.0,67.0,72.0,77.0,42.0,67.0,"CAM, RM, CM",Midfielder
79.0,44.0,60.0,67.0,74.0,76.0,"CB, RB",Defender
73.0,73.0,60.0,73.0,27.0,71.0,ST,Forward
62.0,57.0,68.0,69.0,73.0,74.0,"CDM, CM, CB",Defender
60.0,32.0,54.0,55.0,74.0,74.0,CB,Defender
62.0,43.0,49.0,53.0,75.0,78.0,CB,Defender
57.0,44.0,61.0,56.0,73.0,75.0,CB,Defender
59.0,33.0,51.0,56.0,73.0,68.0,CB,Defender
66.0,71.0,75.0,73.0,68.0,64.0,"CM, CDM",Midfielder
57.0,71.0,75.0,74.0,64.0,68.0,"CM, CAM",Midfielder
72.0,63.0,72.0,70.0,68.0,72.0,"LB, LWB",Defender
61.0,63.0,70.0,73.0,62.0,68.0,"CM, CF, RM",Midfielder
71.0,67.0,72.0,77.0,49.0,55.0,"RM, CF",Midfielder
63.0,62.0,75.0,77.0,64.0,62.0,"CM, CAM, LM",Midfielder
75.0,55.0,65.0,68.0,69.0,69.0,"LB, LWB",Defender
86.0,64.0,70.0,74.0,58.0,74.0,"RM, LM, CM",Midfielder
33.0,41.0,54.0,58.0,75.0,77.0,CB,Defender
71.0,42.0,66.0,69.0,72.0,68.0,"LB, LM, LWB",Defender
86.0,72.0,67.0,75.0,39.0,73.0,"ST, LM, RM",Midfielder
31.0,59.0,51.0,53.0,72.0,81.0,CB,Defender
84.0,71.0,67.0,74.0,47.0,69.0,"LW, ST, RW",Forward
54.0,67.0,76.0,72.0,62.0,57.0,"CM, CDM",Midfielder
85.0,71.0,52.0,68.0,44.0,79.0,ST,Forward
92.0,51.0,62.0,73.0,67.0,69.0,RB,Defender
49.0,47.0,51.0,54.0,75.0,76.0,CB,Defender
72.0,71.0,73.0,74.0,73.0,73.0,"CM, CDM",Midfielder
58.0,31.0,51.0,60.0,72.0,80.0,"CB, RB, LB",Defender
69.0,39.0,59.0,63.0,75.0,73.0,CB,Defender
57.0,43.0,61.0,61.0,75.0,69.0,"CB, CDM",Defender
73.0,71.0,50.0,68.0,37.0,85.0,ST,Forward
,,,,,,GK,Goalkeeper
61.0,32.0,45.0,44.0,76.0,77.0,CB,Defender
,,,,,,GK,Goalkeeper
52.0,43.0,56.0,56.0,72.0,81.0,"CB, RB",Defender
79.0,69.0,71.0,74.0,53.0,68.0,"CAM, CM",Midfielder
78.0,73.0,55.0,71.0,27.0,67.0,"ST, RM",Midfielder
78.0,66.0,71.0,74.0,60.0,68.0,"LW, LM, LWB",Defender
56.0,69.0,74.0,70.0,65.0,73.0,CM,Midfielder
73.0,30.0,52.0,62.0,74.0,76.0,CB,Defender
66.0,75.0,53.0,63.0,33.0,79.0,ST,Forward
75.0,54.0,70.0,67.0,68.0,71.0,RB,Defender
67.0,34.0,43.0,53.0,76.0,77.0,CB,Defender
77.0,73.0,69.0,73.0,38.0,79.0,"RM, RW, CF",Midfielder
59.0,46.0,66.0,66.0,70.0,77.0,"CDM, CM",Midfielder
77.0,71.0,68.0,75.0,41.0,63.0,"LM, LW, CAM",Midfielder
62.0,40.0,51.0,59.0,75.0,77.0,"CB, CDM",Defender
91.0,68.0,65.0,74.0,28.0,63.0,"RM, LM",Midfielder
,,,,,,GK,Goalkeeper
69.0,62.0,76.0,72.0,60.0,74.0,"CAM, CDM, CM",Midfielder
86.0,42.0,62.0,69.0,66.0,67.0,"RB, LB",Defender
,,,,,,GK,Goalkeeper
73.0,68.0,72.0,76.0,41.0,51.0,"CAM, LW, CM",Midfielder
66.0,65.0,70.0,71.0,68.0,79.0,CM,Midfielder
61.0,41.0,53.0,57.0,75.0,73.0,CB,Defender
77.0,60.0,66.0,69.0,70.0,77.0,LB,Defender
65.0,64.0,77.0,71.0,57.0,66.0,CM,Midfielder
71.0,38.0,60.0,66.0,73.0,72.0,CB,Defender
,,,,,,GK,Goalkeeper
78.0,71.0,70.0,71.0,68.0,64.0,"CM, CDM, CAM",Midfielder
,,,,,,GK,Goalkeeper
74.0,72.0,66.0,72.0,48.0,71.0,ST,Forward
84.0,71.0,68.0,72.0,51.0,82.0,"ST, RM, CAM",Midfielder
81.0,64.0,67.0,72.0,64.0,74.0,RM,Midfielder
55.0,40.0,52.0,57.0,75.0,74.0,CB,Defender
68.0,75.0,63.0,66.0,34.0,80.0,ST,Forward
72.0,71.0,71.0,73.0,49.0,65.0,"RM, RW",Midfielder
60.0,33.0,55.0,57.0,75.0,73.0,"CB, LB",Defender
71.0,53.0,68.0,70.0,70.0,65.0,"LB, LM",Defender
77.0,72.0,68.0,76.0,43.0,69.0,RW,Forward
67.0,51.0,57.0,63.0,74.0,72.0,"CB, RB, LB",Defender
74.0,51.0,53.0,64.0,72.0,71.0,"LB, CB",Defender
88.0,56.0,61.0,69.0,66.0,74.0,"RB, LB",Defender
,,,,,,GK,Goalkeeper
68.0,59.0,69.0,68.0,72.0,76.0,"CB, RB",Defender
70.0,69.0,76.0,75.0,61.0,66.0,"CM, CAM, LW",Midfielder
75.0,71.0,68.0,71.0,70.0,82.0,"CM, CAM, RWB",Defender
53.0,32.0,48.0,52.0,73.0,78.0,CB,Defender
84.0,51.0,60.0,63.0,69.0,76.0,"RB, LB",Defender
,,,,,,GK,Goalkeeper
58.0,40.0,47.0,41.0,74.0,80.0,CB,Defender
68.0,72.0,52.0,68.0,31.0,79.0,ST,Forward
62.0,67.0,71.0,69.0,71.0,75.0,"CDM, CM",Midfielder
74.0,47.0,57.0,58.0,70.0,86.0,CB,Defender
81.0,67.0,67.0,73.0,57.0,75.0,"RM, CAM, RW",Midfielder
73.0,68.0,72.0,74.0,63.0,73.0,"CAM, CM, LW",Midfielder
83.0,66.0,65.0,72.0,35.0,63.0,RM,Midfielder
70.0,59.0,67.0,70.0,69.0,81.0,"CDM, CM",Midfielder
74.0,72.0,71.0,75.0,61.0,58.0,"CAM, CM, LM",Midfielder
74.0,62.0,70.0,71.0,69.0,66.0,LB,Defender
83.0,35.0,61.0,61.0,69.0,80.0,"RB, CB, RM",Defender
67.0,49.0,47.0,53.0,73.0,77.0,CB,Defender
74.0,71.0,70.0,70.0,43.0,77.0,"RM, LM",Midfielder
73.0,42.0,57.0,54.0,74.0,75.0,"CB, RB",Defender
63.0,74.0,58.0,69.0,26.0,70.0,ST,Forward
91.0,52.0,60.0,71.0,68.0,77.0,"RB, RWB, RM",Defender
78.0,59.0,67.0,71.0,68.0,70.0,"RB, RM",Defender
72.0,57.0,69.0,69.0,71.0,74.0,"LB, LWB, CB",Defender
65.0,63.0,72.0,74.0,67.0,62.0,CM,Midfielder
68.0,61.0,67.0,68.0,72.0,80.0,"CDM, CM",Midfielder
71.0,70.0,73.0,73.0,63.0,64.0,"CM, CDM",Midfielder
,,,,,,GK,Goalkeeper
87.0,61.0,69.0,75.0,38.0,53.0,"LM, RM",Midfielder
52.0,31.0,53.0,59.0,74.0,72.0,"CB, CDM",Defender
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
66.0,59.0,69.0,71.0,68.0,75.0,CM,Midfielder
,,,,,,GK,Goalkeeper
73.0,49.0,61.0,68.0,70.0,78.0,RB,Defender
85.0,63.0,69.0,73.0,62.0,62.0,"LM, LB",Defender
77.0,61.0,72.0,72.0,63.0,77.0,"CM, CDM",Midfielder
66.0,36.0,53.0,54.0,73.0,79.0,CB,Defender
68.0,62.0,68.0,71.0,73.0,80.0,"CM, CDM",Midfielder
78.0,73.0,61.0,70.0,43.0,77.0,"ST, LM",Midfielder
77.0,74.0,48.0,66.0,24.0,77.0,ST,Forward
65.0,66.0,68.0,69.0,68.0,72.0,"CDM, CM",Midfielder
,,,,,,GK,Goalkeeper
83.0,55.0,56.0,74.0,65.0,62.0,RB,Defender
73.0,67.0,74.0,71.0,67.0,80.0,"LB, CM",Defender
69.0,59.0,68.0,70.0,70.0,71.0,RB,Defender
59.0,69.0,67.0,74.0,70.0,78.0,"CM, CDM",Midfielder
,,,,,,GK,Goalkeeper
65.0,73.0,52.0,70.0,31.0,78.0,ST,Forward
62.0,56.0,62.0,62.0,74.0,78.0,"CDM, CM",Midfielder
71.0,65.0,69.0,71.0,71.0,72.0,"CDM, CM, RB",Defender
75.0,70.0,71.0,77.0,67.0,72.0,"CM, CDM",Midfielder
78.0,69.0,72.0,75.0,40.0,56.0,"CAM, ST, LM",Midfielder
64.0,52.0,70.0,72.0,66.0,69.0,"CDM, CM",Midfielder
76.0,70.0,70.0,73.0,73.0,68.0,"CDM, CM",Midfielder
90.0,54.0,68.0,70.0,67.0,71.0,"LB, LM",Defender
68.0,74.0,61.0,71.0,31.0,71.0,ST,Forward
79.0,67.0,69.0,75.0,32.0,49.0,LM,Midfielder
79.0,62.0,66.0,72.0,65.0,70.0,"LWB, LB",Defender
91.0,74.0,65.0,74.0,31.0,71.0,"RM, ST, RW",Midfielder
79.0,61.0,69.0,74.0,52.0,68.0,"RM, RW, CM",Midfielder
49.0,31.0,48.0,53.0,74.0,82.0,CB,Defender
67.0,74.0,76.0,77.0,39.0,64.0,"ST, LM, LW",Midfielder
,,,,,,GK,Goalkeeper
64.0,63.0,71.0,69.0,68.0,75.0,"CDM, CM",Midfielder
53.0,27.0,39.0,49.0,75.0,79.0,CB,Defender
69.0,46.0,63.0,69.0,71.0,69.0,"LB, LM",Defender
83.0,63.0,63.0,79.0,43.0,52.0,LM,Midfielder
73.0,71.0,62.0,73.0,51.0,71.0,ST,Forward
77.0,63.0,73.0,75.0,61.0,70.0,"CAM, CM, RW",Midfielder
73.0,65.0,74.0,75.0,42.0,57.0,"RM, CAM, RW",Midfielder
76.0,66.0,67.0,73.0,34.0,61.0,"RM, LM",Midfielder
68.0,68.0,69.0,70.0,67.0,79.0,"CM, CDM",Midfielder
60.0,73.0,76.0,74.0,42.0,63.0,"CAM, LW, RW",Midfielder
77.0,50.0,60.0,65.0,73.0,78.0,"CDM, CM",Midfielder
72.0,71.0,62.0,73.0,27.0,74.0,ST,Forward
61.0,41.0,58.0,54.0,74.0,76.0,CB,Defender
72.0,67.0,70.0,81.0,41.0,55.0,"CAM, LM",Midfielder
49.0,46.0,59.0,65.0,75.0,77.0,"CDM, CB",Defender
71.0,69.0,72.0,76.0,64.0,67.0,CM,Midfielder
62.0,72.0,57.0,69.0,29.0,82.0,ST,Forward
86.0,69.0,68.0,72.0,47.0,59.0,"RM, LM, RW",Midfielder
72.0,53.0,67.0,71.0,68.0,72.0,RB,Defender
76.0,67.0,74.0,74.0,50.0,71.0,"CAM, CM",Midfielder
76.0,59.0,70.0,78.0,45.0,61.0,"RM, CAM",Midfielder
83.0,69.0,67.0,74.0,49.0,68.0,"RM, ST, LM",Midfielder
78.0,71.0,69.0,73.0,30.0,69.0,"RM, LM, RW",Midfielder
75.0,70.0,69.0,75.0,39.0,64.0,"RM, LM",Midfielder
89.0,59.0,70.0,74.0,32.0,60.0,"LM, RM, RW",Midfielder
85.0,69.0,69.0,72.0,55.0,67.0,"LM, LW, ST",Midfielder
77.0,55.0,66.0,73.0,71.0,74.0,"CDM, CM",Midfielder
79.0,64.0,68.0,75.0,36.0,57.0,"LM, RM, CAM",Midfielder
93.0,59.0,62.0,76.0,35.0,65.0,"RM, RW",Midfielder
88.0,71.0,59.0,74.0,31.0,67.0,"LW, LM, ST",Midfielder
68.0,45.0,49.0,49.0,76.0,78.0,CB,Defender
80.0,77.0,67.0,73.0,38.0,74.0,"ST, RW",Forward
77.0,71.0,72.0,77.0,64.0,67.0,"CM, CF",Midfielder
72.0,72.0,71.0,73.0,54.0,69.0,"LM, CF, CAM",Midfielder
76.0,56.0,62.0,71.0,69.0,73.0,"RB, RM",Defender
64.0,45.0,62.0,66.0,74.0,74.0,"CDM, CM",Midfielder
70.0,50.0,68.0,69.0,70.0,70.0,"RB, RM",Defender
76.0,57.0,66.0,74.0,68.0,77.0,"RB, RWB",Defender
75.0,71.0,72.0,73.0,59.0,71.0,"CAM, CM",Midfielder
,,,,,,GK,Goalkeeper
92.0,68.0,62.0,77.0,36.0,49.0,"RW, RWB",Defender
57.0,36.0,53.0,54.0,74.0,79.0,CB,Defender
75.0,69.0,68.0,75.0,38.0,71.0,"CAM, CM, ST",Midfielder
62.0,60.0,71.0,71.0,68.0,73.0,"CM, RM, CDM",Midfielder
77.0,66.0,74.0,76.0,62.0,68.0,"CM, CDM, RM",Midfielder
68.0,75.0,72.0,74.0,64.0,77.0,"CAM, CM, LW",Midfielder
76.0,69.0,66.0,74.0,51.0,79.0,"ST, RM, LM",Midfielder
78.0,70.0,69.0,72.0,46.0,55.0,"RW, LW, CF",Forward
75.0,73.0,57.0,71.0,42.0,80.0,"ST, LW",Forward
72.0,50.0,68.0,75.0,70.0,68.0,"RB, RM",Defender
87.0,42.0,57.0,72.0,68.0,70.0,"LB, LWB",Defender
66.0,76.0,76.0,75.0,50.0,68.0,CM,Midfielder
74.0,43.0,62.0,63.0,74.0,74.0,"CB, LB",Defender
81.0,64.0,67.0,78.0,47.0,63.0,"LW, RW",Forward
78.0,62.0,68.0,64.0,71.0,83.0,"CB, CDM",Defender
78.0,60.0,67.0,77.0,56.0,62.0,"LM, CAM, CM",Midfielder
80.0,72.0,67.0,79.0,34.0,54.0,"LM, CAM",Midfielder
70.0,73.0,70.0,77.0,40.0,67.0,"CAM, RW",Midfielder
85.0,69.0,66.0,74.0,52.0,55.0,"RM, RWB",Defender
64.0,29.0,55.0,58.0,74.0,72.0,CB,Defender
65.0,77.0,60.0,73.0,25.0,61.0,ST,Forward
73.0,58.0,67.0,72.0,71.0,74.0,"CDM, CM",Midfielder
92.0,45.0,60.0,72.0,65.0,71.0,RB,Defender
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
41.0,48.0,55.0,51.0,74.0,80.0,CB,Defender
73.0,49.0,53.0,54.0,75.0,69.0,"CB, RB, LB",Defender
75.0,65.0,69.0,70.0,66.0,76.0,"CM, LB",Defender
75.0,39.0,65.0,70.0,71.0,62.0,"LB, LM",Defender
77.0,48.0,61.0,69.0,69.0,70.0,LB,Defender
63.0,53.0,65.0,64.0,73.0,75.0,CDM,Midfielder
68.0,65.0,75.0,74.0,34.0,67.0,"CAM, LM, CM",Midfielder
62.0,37.0,56.0,61.0,74.0,74.0,CB,Defender
60.0,64.0,68.0,64.0,71.0,78.0,"CDM, CM",Midfielder
78.0,45.0,59.0,62.0,70.0,61.0,LB,Defender
72.0,50.0,69.0,60.0,72.0,74.0,LB,Defender
66.0,50.0,70.0,67.0,72.0,59.0,"RB, RM",Defender
63.0,71.0,73.0,72.0,61.0,67.0,"CM, RM",Midfielder
65.0,54.0,64.0,64.0,70.0,69.0,"RB, RM, RWB",Defender
67.0,54.0,58.0,64.0,73.0,75.0,CB,Defender
72.0,62.0,75.0,77.0,43.0,58.0,"CAM, LM",Midfielder
73.0,71.0,70.0,73.0,38.0,64.0,RM,Midfielder
61.0,53.0,65.0,64.0,71.0,75.0,CDM,Midfielder
64.0,76.0,52.0,67.0,25.0,59.0,ST,Forward
71.0,65.0,66.0,62.0,74.0,69.0,CDM,Midfielder
78.0,74.0,60.0,73.0,29.0,60.0,ST,Forward
51.0,75.0,68.0,64.0,43.0,81.0,"ST, LM",Midfielder
54.0,57.0,67.0,68.0,75.0,68.0,"CDM, CM, RM",Midfielder
79.0,63.0,71.0,74.0,49.0,62.0,RW,Forward
79.0,69.0,69.0,73.0,39.0,52.0,"LW, LM",Midfielder
77.0,63.0,71.0,77.0,32.0,51.0,CAM,Midfielder
69.0,72.0,73.0,74.0,29.0,67.0,"CAM, LM",Midfielder
69.0,69.0,72.0,73.0,30.0,70.0,"CAM, CM",Midfielder
80.0,65.0,67.0,73.0,27.0,58.0,"RW, CF",Forward
58.0,38.0,53.0,58.0,74.0,75.0,"CB, CDM",Defender
65.0,62.0,69.0,70.0,69.0,73.0,"CDM, CM",Midfielder
62.0,32.0,55.0,63.0,74.0,75.0,CB,Defender
65.0,43.0,63.0,68.0,72.0,77.0,"CB, CDM, CM",Defender
84.0,67.0,71.0,77.0,67.0,71.0,CM,Midfielder
71.0,53.0,64.0,70.0,71.0,76.0,RB,Defender
79.0,48.0,63.0,68.0,73.0,79.0,"CB, RB",Defender
77.0,53.0,64.0,74.0,70.0,69.0,"LB, LWB",Defender
74.0,70.0,73.0,74.0,62.0,75.0,"CM, CAM, CDM",Midfielder
77.0,70.0,69.0,77.0,60.0,73.0,CAM,Midfielder
76.0,48.0,60.0,69.0,71.0,72.0,RB,Defender
93.0,65.0,64.0,75.0,27.0,51.0,"RW, LW",Forward
77.0,56.0,71.0,71.0,68.0,61.0,"LB, LM, CB",Defender
,,,,,,GK,Goalkeeper
77.0,60.0,64.0,65.0,72.0,76.0,"RB, CB",Defender
70.0,52.0,60.0,67.0,72.0,73.0,"LB, CB",Defender
90.0,69.0,62.0,75.0,30.0,61.0,"RM, LM, CF",Midfielder
73.0,50.0,64.0,73.0,71.0,68.0,LB,Defender
71.0,49.0,61.0,68.0,72.0,73.0,"LB, LWB",Defender
78.0,64.0,67.0,72.0,68.0,66.0,"RWB, RM",Defender
74.0,74.0,67.0,73.0,30.0,63.0,"ST, RW",Forward
78.0,74.0,72.0,77.0,30.0,72.0,"ST, CF, CAM",Midfielder
70.0,70.0,74.0,73.0,59.0,63.0,"CM, CAM",Midfielder
79.0,67.0,69.0,77.0,31.0,63.0,"CAM, CM",Midfielder
65.0,68.0,75.0,66.0,73.0,76.0,CB,Defender
73.0,45.0,67.0,72.0,70.0,65.0,RB,Defender
72.0,59.0,63.0,69.0,71.0,63.0,LB,Defender
74.0,41.0,60.0,53.0,77.0,66.0,CB,Defender
81.0,49.0,65.0,69.0,68.0,75.0,"LB, LWB",Defender
88.0,58.0,64.0,73.0,66.0,67.0,RB,Defender
63.0,51.0,65.0,71.0,69.0,79.0,"CDM, CM",Midfielder
60.0,38.0,46.0,57.0,75.0,72.0,CB,Defender
,,,,,,GK,Goalkeeper
70.0,67.0,72.0,71.0,65.0,69.0,"CM, CDM",Midfielder
63.0,70.0,78.0,75.0,44.0,60.0,"CM, CAM",Midfielder
69.0,67.0,74.0,72.0,67.0,74.0,"CM, CDM",Midfielder
85.0,73.0,64.0,74.0,26.0,62.0,LM,Midfielder
74.0,68.0,76.0,76.0,56.0,64.0,"CM, CDM, LM",Midfielder
79.0,63.0,68.0,76.0,44.0,45.0,"RM, CAM",Midfielder
71.0,38.0,62.0,67.0,69.0,76.0,LB,Defender
65.0,35.0,59.0,57.0,75.0,71.0,"CB, RB, LB",Defender
55.0,37.0,54.0,57.0,73.0,75.0,CB,Defender
73.0,37.0,70.0,66.0,70.0,75.0,"RB, CB, RWB",Defender
81.0,44.0,60.0,67.0,69.0,73.0,"RB, RWB",Defender
66.0,62.0,66.0,68.0,70.0,75.0,"CDM, CM",Midfielder
79.0,71.0,68.0,76.0,50.0,61.0,"RM, LM, CM",Midfielder
52.0,35.0,51.0,56.0,75.0,64.0,CB,Defender
69.0,62.0,69.0,75.0,69.0,73.0,CM,Midfielder
79.0,60.0,69.0,75.0,69.0,69.0,"CM, RM, CDM",Midfielder
68.0,62.0,75.0,76.0,61.0,66.0,"CM, CAM, CDM",Midfielder
58.0,47.0,71.0,78.0,55.0,58.0,CM,Midfielder
68.0,42.0,62.0,64.0,72.0,81.0,CB,Defender
67.0,71.0,69.0,73.0,59.0,71.0,"CAM, CM",Midfielder
63.0,67.0,64.0,69.0,72.0,73.0,"CDM, CM",Midfielder
73.0,74.0,67.0,72.0,26.0,63.0,ST,Forward
72.0,64.0,70.0,73.0,67.0,74.0,LB,Defender
85.0,56.0,59.0,70.0,70.0,71.0,"LB, CM",Defender
66.0,40.0,56.0,61.0,76.0,73.0,CB,Defender
52.0,41.0,61.0,47.0,73.0,84.0,"CDM, CB",Defender
55.0,45.0,52.0,63.0,74.0,71.0,CB,Defender
69.0,63.0,69.0,82.0,67.0,66.0,"LM, CM, CAM",Midfielder
54.0,41.0,48.0,54.0,74.0,76.0,CB,Defender
86.0,43.0,62.0,70.0,68.0,69.0,"LB, LM",Defender
,,,,,,GK,Goalkeeper
80.0,69.0,68.0,75.0,37.0,58.0,"RM, LM, ST",Midfielder
77.0,32.0,59.0,63.0,71.0,75.0,CB,Defender
80.0,53.0,67.0,71.0,67.0,65.0,LB,Defender
82.0,69.0,70.0,76.0,66.0,77.0,"CM, CDM, CB",Defender
78.0,66.0,69.0,78.0,55.0,65.0,"CAM, RM, CM",Midfielder
60.0,44.0,52.0,50.0,72.0,83.0,CB,Defender
86.0,59.0,66.0,74.0,64.0,70.0,"LB, LM",Defender
87.0,64.0,67.0,72.0,66.0,70.0,"LB, LM",Defender
77.0,69.0,67.0,77.0,36.0,65.0,CAM,Midfielder
74.0,34.0,63.0,65.0,75.0,74.0,"CB, LB",Defender
90.0,36.0,60.0,70.0,66.0,75.0,RB,Defender
79.0,54.0,70.0,71.0,58.0,65.0,"RM, RB",Defender
81.0,41.0,62.0,67.0,67.0,77.0,"RB, RWB",Defender
68.0,44.0,66.0,67.0,73.0,58.0,CDM,Midfielder
71.0,64.0,73.0,70.0,63.0,77.0,"RM, RWB, CAM",Defender
,,,,,,GK,Goalkeeper
66.0,65.0,73.0,74.0,60.0,68.0,"CAM, CM, LM",Midfielder
,,,,,,GK,Goalkeeper
74.0,60.0,73.0,73.0,69.0,71.0,"RB, RWB, RM",Defender
70.0,40.0,58.0,65.0,74.0,75.0,"CB, LB",Defender
72.0,71.0,55.0,71.0,29.0,69.0,ST,Forward
78.0,32.0,45.0,56.0,72.0,76.0,CB,Defender
66.0,63.0,67.0,75.0,61.0,57.0,CM,Midfielder
80.0,73.0,66.0,76.0,33.0,68.0,"ST, RM, LM",Midfielder
81.0,72.0,62.0,69.0,48.0,86.0,"ST, RW",Forward
88.0,44.0,62.0,72.0,68.0,75.0,"RB, RM",Defender
61.0,55.0,62.0,67.0,69.0,78.0,"CDM, CM",Midfielder
86.0,60.0,64.0,69.0,65.0,70.0,"LB, LWB, LM",Defender
82.0,74.0,54.0,71.0,20.0,62.0,"ST, LW, RW",Forward
77.0,69.0,67.0,74.0,47.0,59.0,"RM, CM, LM",Midfielder
,,,,,,GK,Goalkeeper
62.0,47.0,58.0,67.0,72.0,80.0,"CDM, CM",Midfielder
64.0,48.0,64.0,70.0,71.0,72.0,"CDM, CM",Midfielder
75.0,43.0,62.0,68.0,70.0,77.0,"LB, LWB, LM",Defender
76.0,65.0,68.0,78.0,38.0,42.0,"CAM, ST",Midfielder
69.0,67.0,78.0,77.0,53.0,62.0,"CM, CAM, CDM",Midfielder
75.0,63.0,71.0,74.0,69.0,72.0,"CDM, CAM, RB",Defender
77.0,67.0,69.0,80.0,36.0,61.0,"CAM, LW, RW",Midfielder
69.0,31.0,46.0,56.0,72.0,79.0,CB,Defender
83.0,71.0,69.0,74.0,69.0,81.0,"CM, CDM",Midfielder
82.0,71.0,60.0,69.0,29.0,68.0,ST,Forward
86.0,70.0,59.0,68.0,29.0,75.0,"ST, RW",Forward
81.0,71.0,69.0,74.0,33.0,59.0,"RM, LM",Midfielder
53.0,30.0,49.0,51.0,73.0,78.0,CB,Defender
72.0,43.0,63.0,72.0,71.0,76.0,"RB, CB",Defender
76.0,69.0,72.0,73.0,41.0,65.0,"LM, CAM",Midfielder
71.0,31.0,49.0,64.0,74.0,72.0,CB,Defender
71.0,69.0,71.0,77.0,61.0,67.0,CM,Midfielder
66.0,71.0,72.0,73.0,38.0,58.0,"RM, CAM",Midfielder
68.0,46.0,49.0,60.0,73.0,77.0,CB,Defender
72.0,75.0,60.0,73.0,25.0,60.0,ST,Forward
69.0,62.0,73.0,75.0,68.0,64.0,"CDM, CM",Midfielder
81.0,66.0,68.0,74.0,54.0,61.0,"RM, ST",Midfielder
66.0,58.0,72.0,77.0,67.0,69.0,"CM, CDM",Midfielder
74.0,68.0,70.0,75.0,67.0,76.0,"CDM, CM, RM",Midfielder
86.0,62.0,64.0,74.0,67.0,73.0,"RB, RM",Defender
77.0,33.0,49.0,49.0,74.0,78.0,"CB, RB",Defender
67.0,60.0,71.0,74.0,69.0,70.0,"CDM, CM",Midfielder
88.0,58.0,67.0,76.0,63.0,77.0,"LB, LWB, LW",Defender
67.0,65.0,70.0,76.0,63.0,70.0,CM,Midfielder
75.0,42.0,63.0,73.0,70.0,51.0,"LWB, LB",Defender
,,,,,,GK,Goalkeeper
67.0,69.0,73.0,73.0,62.0,72.0,"CM, CAM",Midfielder
78.0,74.0,60.0,73.0,37.0,63.0,ST,Forward
77.0,72.0,70.0,76.0,33.0,45.0,"RM, RW",Midfielder
